INFO:logs/DIP_log_model_gaussian_+_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_+_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_+_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_+_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 20.404810141566813
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 21.839737850897137
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 22.02095330698461
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 22.59271899795123
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 22.56924793873764
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 22.99788432227473
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 22.980435940373855
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 23.155714721629813
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 23.240017610583802
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 23.5062469565853
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 23.292514080885827
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 23.4850613715405
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 23.621841043329063
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 23.951385130963644
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 23.76014604430536
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 24.126030187071724
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 24.137176969495957
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 24.4608594779054
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 24.430496099958905
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 24.578574189283817
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 24.8834883834402
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 24.68867980341455
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 25.13927113145203
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 25.20930775653385
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 25.184367160749076
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 25.297871551837215
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 25.435776354916587
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 25.59436844775984
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 25.53010960410867
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 25.782220192455473
INFO:logs/DIP_log_model_gaussian_+_noise.log:train PSNR: 25.64312021327176
INFO:logs/DIP_log_model_gaussian_+_noise.log:test PSNR: 25.78150733766435
