INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=128_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 128, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 22.583451574137115
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 23.60091829539491
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 23.1843031525835
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 23.686435210993864
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 23.67533012455666
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 24.374258336972826
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 24.43070485671526
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 24.701268325043205
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 24.4114734889161
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 24.416770195815953
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 24.767883572649698
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.212718230642338
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 24.94868684638371
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.378764673643307
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 25.261288876813584
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.361808026285512
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 25.071493860272277
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.627870770086858
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 25.692844531700793
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 24.94350454065713
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 24.81805474574339
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.4617382761342
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 25.493319878993987
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.576999276745866
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:train PSNR: 25.66054930521648
INFO:logs/DIP_log_model_gaussian_kernel=128_sigma=3.log:test PSNR: 25.818044566007895
