
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel=4_sigma=25', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 4, 'gaussian_sigma': 25}

INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.6351962196152
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 33.48560346002254
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.64287592733863
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 33.638757125942114
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.99089257007661
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 33.73133377956039
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.94597189536106
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 33.87612203221231
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.98174561367144
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.053000842053564
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 33.19945041970957
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.20944600395021
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 33.55711689209753
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.168880161876956
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 33.479042157553785
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.444324951765864
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 32.85386172241075
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.45044695640135
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 33.703011543391135
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.681663962474005
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 34.0223455923271
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.77200110659595
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 34.08970397669785
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.93108609624115
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 34.12892559646886
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:test PSNR: 34.99586941892079
INFO:logs/DIP_log_model_gaussian_kernel=4_sigma=25.log:train PSNR: 33.43655710678459
