INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log_model:config_dict = {'uuid': 'DIP_project_gaussian_kernel_sigma=3', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64, 'gaussian_sigma': 3}

INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:Training model...
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 22.976597285376364
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 23.87278842675677
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 23.4822496004609
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 24.35182007300373
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 24.290935415080302
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 24.833496917150438
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 24.58958186349502
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 24.662847749459548
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 24.32662235962544
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.13063647682306
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.143786312932146
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.211116286622097
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 24.99959336503616
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.420972755241404
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.230233733258025
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.483853710115053
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.312986198994505
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.557983278929942
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.43596155849344
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.615557329259108
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.368145185150148
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.785819691382194
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.695897540253092
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 25.884822397422898
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 26.09273896940809
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.000462732062253
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:train PSNR: 25.638257454648507
INFO:logs/DIP_log_model_gaussian_kernel_sigma=3.log:test PSNR: 26.1082357110345
