INFO:logs/DIP_log_model_gaussian_with_noise.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_gaussian_with_noise.log_model:config_dict = {'uuid': 'DIP_project_gaussian_with_noise', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'gaussian_size': 64}

INFO:logs/DIP_log_model_gaussian_with_noise.log:Training model...
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 24.92422618208723
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 25.8005840212714
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 26.025441808401087
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 26.285505322536153
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 26.280051267027506
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 26.45668665598795
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 26.447544652471375
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 26.392812205809786
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 26.855888370961708
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.019865615083635
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.002369961296615
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.012966377161977
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.05901399511194
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.236812016402773
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.116193437929322
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.40831624065198
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.096587934924692
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.453753854601317
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.176952182758622
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.45532834295844
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.508293075703666
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.569112084302045
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.46702509668636
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.581812140472618
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.536774650925125
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.723864639677718
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.535605262450154
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.58993350606494
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.68418819522882
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.791987748455764
INFO:logs/DIP_log_model_gaussian_with_noise.log:train PSNR: 27.72521243085121
INFO:logs/DIP_log_model_gaussian_with_noise.log:test PSNR: 27.522001792221953
