INFO:logs/DIP_log_model_sinc_kernel=64.log_model:first model = 
ConvLista_T(
  (apply_A): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_B): Conv2d(1, 175, kernel_size=(11, 11), stride=(8, 8), bias=False)
  (apply_C): Sequential(
    (0): ConvTranspose2d(175, 1, kernel_size=(11, 11), stride=(8, 8))
  )
  (soft_threshold): SoftThreshold()
)

INFO:logs/DIP_log_model_sinc_kernel=64.log_model:config_dict = {'uuid': 'DIP_project_sinc_kernel=64', 'kernel_size': 11, 'stride': 8, 'num_filters': 175, 'lr': 0.0002, 'unfoldings': 12, 'lr_decay': 0.35, 'patch_size': 128, 'num_epochs': 250, 'lr_step': 50, 'eps': 0.001, 'threshold': 0.01, 'noise_std': 0.09803921568627451, 'sinc_size': 64}

INFO:logs/DIP_log_model_sinc_kernel=64.log:Training model...
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 28.643140068389087
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 28.565273106666247
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 29.460535184416667
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 29.62995510244812
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 29.846420672364516
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 29.914585934134067
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 29.813625364241485
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.019489929536345
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.34806906089313
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.148777166289225
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.392194818147917
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.28236344477429
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.33539091343311
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.351378521674004
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.623726989903847
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.51498586521775
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.507884046990984
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.600479576637888
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.941843759197667
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.68834344504492
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.78366379420996
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.71801013663036
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.838211614690294
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.90374371929144
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 30.92896183578212
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 31.078160406219716
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 31.198160072329895
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 31.10680843078347
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 31.51313859052035
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 30.330542603601984
INFO:logs/DIP_log_model_sinc_kernel=64.log:train PSNR: 31.40126699303702
INFO:logs/DIP_log_model_sinc_kernel=64.log:test PSNR: 31.00897389977234
